store_id,name,genre,subgenre
com.innersloth.spacemafia,"Among Us","Action",TBD
com.cassette.aquapark,"aquapark.io","Action",TBD
com.xq.archeroii,"Archero 2","Action",TBD
com.YoStarEN.AzurLane,"Azur Lane","Action",TBD
com.thegamekitchen.blasphemousmobile,"Blasphemous","Action",TBD
com.madfatcat.bomber,"Bomber Ace: WW2 war plane game","Action",Shooter
com.playgendary.bowmasters,"Bowmasters: Archery Shooting","Action",Shooter
com.supercell.brawlstars,"Brawl Stars","Action",TBD
com.brotato.shooting.survivors.games.paid.android,"Brotato: Premium","Action",TBD
com.activision.callofduty.shooter,"Call of Duty®: Mobile","Action",Shooter
jp.konami.epjCastlevania2,"Castlevania: SotN","Action",TBD
com.playdigious.deadcells.mobile,"Dead Cells","Action",TBD
com.bandainamcoent.dblegends_ww,"DRAGON BALL LEGENDS","Action",TBD
com.bandainamcogames.dbzdokkanww,"DRAGON BALL Z DOKKAN BATTLE","Action",Shooter
com.GameCoaster.ProtectDungeon,"Dungeon Defense","Action",TBD
com.WalkTalk.FlightMaster,"Epic Plane Evolution","Action",TBD
com.scottgames.fivenightsatfreddys,"Five Nights at Freddy's","Action",TBD
com.scottgames.fnaf3,"Five Nights at Freddy's 3","Action",TBD
com.scottgames.fnaf4,"Five Nights at Freddy's 4","Action",TBD
com.scottgames.sisterlocation,"Five Nights at Freddy's: SL","Action",TBD
com.dicedpixel.foodrun,"Food Run - Crowd Control Game","Action",TBD
com.epicgames.fortnite,"Fortnite","Action",Shooter
com.dts.freefiremax,"Free Fire MAX: Winterlands","Action",TBD
com.dts.freefireth,"Free Fire: Winterlands","Action",TBD
com.rockstargames.gtasa,"Grand Theft Auto: San Andreas","Action",TBD
com.rockstargames.gtasa.de,"GTA: San Andreas - Definitive","Action",TBD
com.squareenixmontreal.hitmansniperandroid,"Hitman Sniper","Action",Shooter
com.feralinteractive.hitmanabsolution_android,"Hitman: Absolution","Action",TBD
com.playgendary.kickthebuddy,"Kick the Buddy－Fun Action Game","Action",TBD
zombie.survival.craft.z,"Last Day on Earth: Survival","Action",TBD
com.wb.lego.marvel,"LEGO ® Marvel Super Heroes","Action",TBD
com.wb.lego.tcs,"LEGO® Star Wars™:  TCS","Action",Shooter
com.unept.leveldevil,"Level Devil - NOT A Troll Game","Action",TBD
com.kabam.marvelbattle,"Marvel Contest of Champions","Action",TBD
jp.co.capcom.rxdoff,"MEGA MAN X DiVE Offline","Action",TBD
com.mobile.legends,"Mobile Legends: Bang Bang","Action",TBD
com.mobile.legends.usa,"Mobile Legends: Bang Bang.US","Action",TBD
com.kayac.level_up_number,"Number Master: Run and merge","Action",TBD
com.MOBGames.PoppyMobileChap2,"Poppy Playtime Chapter 2","Action",TBD
org.ppsspp.ppssppgold,"PPSSPP Gold - PSP emulator","Action",TBD
com.tencent.ig,"PUBG MOBILE","Action",Shooter
com.rockstargames.rdr,"Red Dead Redemption","Action",TBD
com.nekki.shadowfight2.paid,"Shadow Fight 2 Special Edition","Action",TBD
com.eapublishing.dhsw.paid,"Shadow Hunter: Offline Premium","Action",TBD
com.amelosinteractive.snake,"Snake.io - Fun Snake .io Games","Action",TBD
com.starplay.spider.fighter.openworld,"Spider Fighter 3: Action Game","Action",TBD
com.fgs.SpringSpear,"Spring Spear: Aim & Snap","Action",TBD
com.nintendo.zara,"Super Mario Run","Action",TBD
com.Neurononfire.SupremeDuelist,"Supreme Duelist","Action",TBD
com.playgendary.tom,"Tomb of the Mask: Old Maze","Action",TBD
com.Gcenter.DefenseLegend.TowerDefense.TD.survivor.V5.Pro,"Tower Defense Legend 5 Pro","Action",TBD
com.clickteam.ultimatecustomnight,"Ultimate Custom Night","Action",TBD
com.miniclip.drone1,"War Drone: 3D Shooting Games","Action",Shooter
com.pixonic.wwr,"War Robots Multiplayer Battles","Action",Shooter
com.kurogame.wutheringwaves.global,"Wuthering Waves — To Lahai-Roi","Action",TBD
com.RobotGentleman.game60SecondsReatomized,"60 Seconds! Reatomized","Adventure",TBD
com.innplaylabs.animalkingdomraid,"Animals & Coins","Adventure",TBD
com.jds.batim,"Bendy and the Ink Machine","Adventure",TBD
uk.co.revolution.bs1r.google,"Broken Sword: Reforged","Adventure",TBD
com.noodlecake.drtc,"Death Road to Canada","Adventure",TBD
com.kleientertainment.doNotStarvePocket,"Don't Starve: Pocket Edition","Adventure",TBD
